shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,132,true,132,132,145,1.0000,3291.82
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,262,true,262,262,235,1.0000,35094.48
Clark_Center,Clark Center,-122.661942,45.512502,135,true,135,135,189,1.0000,440.11
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,135,true,0,0,0,0.0000,
Jeans_Place,Jean's Place,-122.654323,45.523278,90,true,90,90,232,1.0000,439.58
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,180,true,180,180,89,1.0000,920.14
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,150,true,150,150,144,1.0000,1466.26
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,108,true,108,108,37,1.0000,1553.29
Willamette_Center,Willamette Center,-122.649327,45.485729,195,true,195,195,83,1.0000,1270.33
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,108,true,108,108,151,1.0000,660.19
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,114,true,114,114,330,1.0000,3911.66
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,225,true,225,225,197,1.0000,2892.89
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,78,true,4,4,0,0.0513,3873.38
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,81,true,13,13,0,0.1605,24793.97
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,32,true,32,32,43,1.0000,2115.29
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,30,true,30,30,1,1.0000,7104.86
Avalon_Village,Avalon Village,-122.647011,45.504545,16,true,16,16,257,1.0000,763.58
Beacon_Village,Beacon Village,-122.585163,45.527605,16,true,16,16,150,1.0000,363.48
Dignity_Village,Dignity Village,-122.635880,45.590779,99,true,99,99,615,1.0000,16209.10
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,63,true,63,63,90,1.0000,1209.09
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,32,true,32,32,16,1.0000,1092.50
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,48,true,48,48,135,1.0000,559.58
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,16,true,16,16,158,1.0000,434.16
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,16,true,16,16,20,1.0000,781.35
St_Johns_Village,St Johns Village,-122.750203,45.590193,32,true,32,32,152,1.0000,494.01
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,190,true,190,190,95,1.0000,1004.56
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,45,true,45,45,157,1.0000,518.69
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,45,true,45,45,0,1.0000,1003.29
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,50,true,50,50,24,1.0000,396.72
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,92,true,92,92,46,1.0000,17977.35
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,99,true,99,99,148,1.0000,1244.11
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,63,true,63,63,158,1.0000,368.86
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,57,true,57,57,11,1.0000,450.41
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,135,true,135,135,17,1.0000,433.25
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,82,true,82,82,430,1.0000,641.25
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,99,true,99,99,80,1.0000,1034.07
NEW_optimized_site_01,Proposed clean-air shelter 1 (optimized location),-122.684239,45.525066,350,true,350,350,104,1.0000,3569.51
NEW_optimized_site_02,Proposed clean-air shelter 2 (optimized location),-122.674314,45.514205,350,true,350,350,71,1.0000,2695.30
NEW_optimized_site_03,Proposed clean-air shelter 3 (optimized location),-122.685357,45.536118,349,true,349,349,33,1.0000,1501.55
NEW_optimized_site_04,Proposed clean-air shelter 4 (optimized location),-122.544555,45.489718,349,true,349,349,231,1.0000,1938.86
NEW_optimized_site_05,Proposed clean-air shelter 5 (optimized location),-122.574416,45.540881,349,true,349,349,635,1.0000,4455.05
NEW_optimized_site_06,Proposed clean-air shelter 6 (optimized location),-122.686929,45.585790,349,true,349,349,219,1.0000,16445.78
NEW_optimized_site_07,Proposed clean-air shelter 7 (optimized location),-122.675258,45.500394,349,true,349,349,139,1.0000,3553.32
NEW_optimized_site_08,Proposed clean-air shelter 8 (optimized location),-122.571918,45.465833,349,true,349,349,64,1.0000,1583.27
NEW_optimized_site_09,Proposed clean-air shelter 9 (optimized location),-122.543241,45.555387,349,true,349,349,415,1.0000,3226.63
NEW_optimized_site_10,Proposed clean-air shelter 10 (optimized location),-122.673484,45.519995,349,true,349,349,84,1.0000,1759.14
